CPU,RAM (GB),HDD (GB),Velikost displeje ("),Rozliseni displeje,Cena (Kc)
Intel I3-5200U:0.05,24:0.87,320 HDD:0.00,13:0.42,1366x768:0.14,25383
Intel I7-6200U:0.58,6:0.37,256 SSD:0.75,14:0.71,1600x900:0.28,30444
Intel I5-7200U:0.82,24:0.87,240 SSD:0.62,15.6:0.85,1920x1080:0.57,36481
Intel I7-7200U:0.94,3:0.12,512 SSD:1.00,10:0.00,3840x2160:1.00,41607
Intel I5-6200U:0.47,32:1.00,512 SSD:1.00,13:0.42,1680x1050:0.42,40783
Intel I3-6100U:0.35,8:0.50,128 SSD:0.50,11:0.14,1366x768:0.14,24996
Intel I7-5500U:0.29,32:1.00,500 HDD:0.12,15.6:0.85,2880x1800:0.85,38676
Intel I7-6200U:0.58,4:0.25,1 000 HDD:0.37,14:0.71,1680x1050:0.42,28298
Intel I7-5500U:0.29,12:0.62,320 HDD:0.00,17.3:1.00,1680x1050:0.42,32463
Intel I5-7200U:0.82,3:0.12,1 000 HDD:0.37,11:0.14,2880x1800:0.85,30167
